,yearID,teamID,R_per_game,HR_per_game,W_percentage,BB_per_game,SB_per_game
116,1966,SFN,4.192546584,1.124223602,0.577639752,2.571428571,0.180124224
117,1966,SLN,3.524691358,0.666666667,0.512345679,2.12962963,0.888888889
118,1966,WS2,3.503144654,0.79245283,0.446540881,2.830188679,0.333333333
119,1967,ATL,3.895061728,0.975308642,0.475308642,3.160493827,0.339506173
120,1967,BAL,4.062111801,0.857142857,0.472049689,3.298136646,0.335403727
121,1967,BOS,4.456790123,0.975308642,0.567901235,3.222222222,0.419753086
122,1967,CAL,3.52173913,0.708074534,0.52173913,2.813664596,0.248447205
123,1967,CHA,3.277777778,0.549382716,0.549382716,2.962962963,0.765432099
124,1967,CHN,4.333333333,0.790123457,0.537037037,3.141975309,0.388888889
125,1967,CIN,3.728395062,0.672839506,0.537037037,2.296296296,0.567901235
126,1967,CLE,3.450617284,0.808641975,0.462962963,2.549382716,0.327160494
127,1967,DET,4.190184049,0.932515337,0.558282209,3.840490798,0.226993865
128,1967,HOU,3.864197531,0.574074074,0.425925926,3.314814815,0.543209877
129,1967,KC1,3.310559006,0.428571429,0.385093168,2.807453416,0.819875776
130,1967,LAN,3.203703704,0.50617284,0.450617284,2.99382716,0.345679012
131,1967,MIN,4.091463415,0.798780488,0.554878049,3.12195122,0.335365854
132,1967,NYA,3.202453988,0.613496933,0.441717791,3.263803681,0.386503067
133,1967,NYN,3.074074074,0.512345679,0.37654321,2.234567901,0.358024691
134,1967,PHI,3.777777778,0.635802469,0.50617284,3.364197531,0.487654321
135,1967,PIT,4.165644172,0.558282209,0.496932515,2.374233129,0.484662577
136,1967,SFN,4.024691358,0.864197531,0.561728395,3.209876543,0.135802469
137,1967,SLN,4.316770186,0.714285714,0.627329193,2.751552795,0.633540373
138,1967,WS2,3.416149068,0.714285714,0.472049689,2.931677019,0.329192547
139,1968,ATL,3.153374233,0.490797546,0.496932515,2.539877301,0.509202454
140,1968,BAL,3.574074074,0.820987654,0.561728395,3.518518519,0.481481481
141,1968,BOS,3.790123457,0.771604938,0.530864198,3.592592593,0.469135802
142,1968,CAL,3.074074074,0.512345679,0.413580247,2.759259259,0.382716049
143,1968,CHA,2.858024691,0.438271605,0.413580247,2.450617284,0.555555556
144,1968,CHN,3.754601227,0.797546012,0.515337423,2.54601227,0.251533742
145,1968,CIN,4.233128834,0.650306748,0.509202454,2.325153374,0.36196319
146,1968,CLE,3.185185185,0.462962963,0.530864198,2.635802469,0.709876543
147,1968,DET,4.091463415,1.12804878,0.62804878,3.176829268,0.158536585
148,1968,HOU,3.148148148,0.407407407,0.444444444,2.956790123,0.271604938
149,1968,LAN,2.901234568,0.413580247,0.469135802,2.709876543,0.351851852
150,1968,MIN,3.469135802,0.648148148,0.487654321,2.74691358,0.604938272
151,1968,NYA,3.268292683,0.664634146,0.506097561,3.451219512,0.548780488
152,1968,NYN,2.901840491,0.496932515,0.447852761,2.325153374,0.441717791
153,1968,OAK,3.490797546,0.576687117,0.503067485,2.895705521,0.901840491
154,1968,PHI,3.351851852,0.617283951,0.469135802,2.851851852,0.358024691
155,1968,PIT,3.576687117,0.490797546,0.490797546,2.588957055,0.797546012
156,1968,SFN,3.674846626,0.662576687,0.539877301,3.116564417,0.306748466
157,1968,SLN,3.598765432,0.450617284,0.598765432,2.333333333,0.679012346
158,1968,WS2,3.254658385,0.770186335,0.403726708,2.819875776,0.180124224
159,1969,ATL,4.265432099,0.87037037,0.574074074,2.99382716,0.364197531
160,1969,BAL,4.808641975,1.080246914,0.672839506,3.913580247,0.50617284
161,1969,BOS,4.586419753,1.216049383,0.537037037,4.061728395,0.25308642
162,1969,CAL,3.239263804,0.539877301,0.435582822,3.165644172,0.331288344
163,1969,CHA,3.858024691,0.691358025,0.419753086,3.407407407,0.333333333
164,1969,CHN,4.417177914,0.871165644,0.564417178,3.429447853,0.18404908
165,1969,CIN,4.895705521,1.049079755,0.54601227,2.90797546,0.484662577
166,1969,CLE,3.559006211,0.739130435,0.385093168,3.322981366,0.527950311
167,1969,DET,4.327160494,1.12345679,0.555555556,3.567901235,0.216049383
168,1969,HOU,4.172839506,0.641975309,0.5,4.314814815,0.62345679
169,1969,KCA,3.595092025,0.601226994,0.423312883,3.202453988,0.791411043
170,1969,LAN,3.981481481,0.598765432,0.524691358,2.987654321,0.49382716
171,1969,MIN,4.87654321,1.00617284,0.598765432,3.697530864,0.709876543
172,1969,MON,3.592592593,0.771604938,0.320987654,3.265432099,0.320987654
173,1969,NYA,3.469135802,0.580246914,0.49382716,3.487654321,0.734567901
174,1969,NYN,3.901234568,0.672839506,0.617283951,3.25308642,0.407407407
175,1969,OAK,4.567901235,0.913580247,0.543209877,3.808641975,0.617283951
